frame_id,clip,timecode,seconds,note
1.4,PANA6251.MOV,00:00:14:24,14.98,
1.5,PANA6255.MOV,00:00:19:08,19.31,
2.1,PANA6218.MOV,00:00:09:20,9.79,
2.3,PANA6197.MOV,00:00:07:12,7.49,
2.5,PANA6258.MOV,00:00:10:24,10.94,
3.2,PANA6305.MOV,00:00:07:22,7.87,
3.3,PANA6296.MOV,00:00:06:04,6.14,
3.4,PANA6307.MOV,00:00:10:09,10.37,
3.5,PANA6289.MOV,00:00:12:06,12.23,
4.2,PANA6308.MOV,00:00:09:07,9.29,
4.5,PANA6319.MOV,00:00:12:24,12.98,
4.6,PANA6210.MOV,00:00:03:09,3.36,
4.8,PANA6323.MOV,00:00:16:12,16.48,
4.9,PANA6332.MOV,00:00:06:23,6.93,
5.3,PANA6204.MOV,00:00:06:04,6.14,
5.4,PANA6180.MOV,00:00:12:12,12.48,
5.5,PANA6229.MOV,00:00:05:19,5.76,
5.6,PANA6234.MOV,00:00:01:18,1.73,
5.7,PANA6236.MOV,00:00:10:14,10.56,
5.8,PANA6240.MOV,00:00:08:21,8.83,
7.2,PANA6288.MOV,00:00:14:05,14.21,
8.1,PANA6280.MOV,00:00:08:06,8.26,
8.2,PANA6281.MOV,00:00:04:01,4.03,
8.3,PANA6282.MOV,00:00:10:04,10.18,
8.4,PANA6283.MOV,00:00:12:11,12.44,
8.5,PANA6286.MOV,00:00:35:17,35.70,
8.6,PANA6340.MOV,00:00:11:18,11.71,
